accuracy,baseline,class,classifier,elapsed_sec,f1,f1_micro,f1_weighted,feature,n_test,n_train_bal,n_train_raw,pr_auc,precision,precision_micro,precision_weighted,recall,recall_micro,recall_weighted,roc_auc,support,task,task_type
,,Disfluent,dnn,,0.11857789448225824,,,mfcc_sdc_mod_k7,,,,,0.17168584292146072,,,0.09056364787840405,,,,18948,fluent_vs_disfluent,binary
0.3321037833022466,0.9120848528715793,__all__,dnn,153.58111095428467,0.10487560685897622,0.3321037833022466,0.465410127413905,mfcc_sdc_mod_k7,215526,83694,6476654,,0.1498543571624529,0.3321037833022466,0.8313356459263672,0.1780192737659633,0.3321037833022466,0.3321037833022466,,,multiclass,multiclass
,,Fluent,dnn,,0.505827976489851,,,mfcc_sdc_mod_k7,,,,,0.9086856163028424,,,0.3504563074199554,,,,196578,multiclass,multiclass
,,I,dnn,,0.12150640844672803,,,mfcc_sdc_mod_k7,,,,,0.07556710443149098,,,0.3099078341013825,,,,3472,multiclass,multiclass
,,PR,dnn,,0.016968687968239738,,,mfcc_sdc_mod_k7,,,,,0.008805742008373762,,,0.2324561403508772,,,,1140,multiclass,multiclass
,,PhR,dnn,,0.026842238541402885,,,mfcc_sdc_mod_k7,,,,,0.01797320974396654,,,0.05299116813864356,,,,6001,multiclass,multiclass
,,WR,dnn,,0.03849424824314041,,,mfcc_sdc_mod_k7,,,,,0.024872744099953725,,,0.08509796160696616,,,,5053,multiclass,multiclass
,,PWR,dnn,,0.024073397474932003,,,mfcc_sdc_mod_k7,,,,,0.01286641064028293,,,0.18665407617248977,,,,3177,multiclass,multiclass
,,P,dnn,,0.00041629084853951295,,,mfcc_sdc_mod_k7,,,,,0.0002096729102599944,,,0.02857142857142857,,,,105,multiclass,multiclass
0.8808960403849188,0.9838905746870448,__all__,rf,191.66696405410767,0.5172298335691707,0.8808960403849188,0.9227372897331949,mfcc_sdc_mod_k7,215526,361083,6476654,0.12938127822253553,0.5225240567088861,0.8808960403849188,0.9740816754980114,0.6456881130269444,0.8808960403849188,0.8808960403849188,0.7343043957284334,,fluent_vs_I,binary
,,not_I,rf,,0.9362372263317651,,,mfcc_sdc_mod_k7,,,,,0.989114689396007,,,0.8887264564686354,,,,212054,fluent_vs_I,binary
,,I,rf,,0.09822244080657627,,,mfcc_sdc_mod_k7,,,,,0.055933424021765224,,,0.40264976958525345,,,,3472,fluent_vs_I,binary
0.9496162875940721,0.9995128197990034,__all__,rf,133.46178913116455,0.487446397612578,0.9496162875940721,0.9736823903187646,mfcc_sdc_mod_k7,215526,19314,6476654,0.0005103044766917741,0.49993921368000294,0.9496162875940721,0.9990199904084991,0.4940779085737098,0.9496162875940721,0.9496162875940721,0.47227738552261234,,fluent_vs_P,binary
,,not_P,rf,,0.9741566214881541,,,mfcc_sdc_mod_k7,,,,,0.9995067492332637,,,0.9500605790521816,,,,215421,fluent_vs_P,binary
,,P,rf,,0.0007361737370019325,,,mfcc_sdc_mod_k7,,,,,0.00037167812674224123,,,0.0380952380952381,,,,105,fluent_vs_P,binary
0.8686376585655559,0.994710614960608,__all__,rf,155.6350700855255,0.4765186977463415,0.8686376585655559,0.9247897899807557,mfcc_sdc_mod_k7,215526,203247,6476654,0.010942505908980245,0.503972335502325,0.8686376585655559,0.990535020751801,0.5849581694012816,0.8686376585655559,0.8686376585655559,0.7549529983710314,,fluent_vs_PR,binary
,,not_PR,rf,,0.9295826493558176,,,mfcc_sdc_mod_k7,,,,,0.9957372891290216,,,0.8716707247674755,,,,214386,fluent_vs_PR,binary
,,PR,rf,,0.02345474613686534,,,mfcc_sdc_mod_k7,,,,,0.012207381875628321,,,0.2982456140350877,,,,1140,fluent_vs_PR,binary
0.7318838562400825,0.9852593190612734,__all__,rf,159.8851261138916,0.4392810439812117,0.7318838562400825,0.8323925426183447,mfcc_sdc_mod_k7,215526,443277,6476654,0.03842840684279394,0.5022608126828302,0.7318838562400825,0.9721734576458243,0.5301640660140299,0.7318838562400825,0.7318838562400825,0.5298617459842853,,fluent_vs_PWR,binary
,,not_PWR,rf,,0.8443340570769736,,,mfcc_sdc_mod_k7,,,,,0.9864479539746583,,,0.7380114810995108,,,,212349,fluent_vs_PWR,binary
,,PWR,rf,,0.03422803088544974,,,mfcc_sdc_mod_k7,,,,,0.018073671391001994,,,0.32231665092854894,,,,3177,fluent_vs_PWR,binary
0.8427103922496589,0.972156491560183,__all__,rf,204.80070090293884,0.4666578184253132,0.8427103922496589,0.8895631983377112,mfcc_sdc_mod_k7,215526,350328,6476654,0.021588883102970705,0.49051363075245996,0.8427103922496589,0.9429620217373613,0.4597264756076827,0.8427103922496589,0.8427103922496589,0.4150964402961833,,fluent_vs_PhR,binary
